Theme,Complete Phrase,Puzzle,About phrase
Insects - 1,Ants can carry objects many times heavier than their own body weight.,_n__ _#_ @__r_ ___@_#_ m___ _#__@ h____#_ ___@ t__i_ o__ b__y _#___@.,Fun Facts
Insects - 2,Bees can recognize human faces using patterns of light and dark shapes.,__#_ ___ _#_@_____ _____ ___#_ _____ __#_@___ __ @__#_ a__ d_@k __@___.,Fun Facts
Insects - 3,Butterflies taste with their feet to find suitable plants for their eggs.,__#___f_#__ t____ _@__ __@_r _#__ __ @___ ______l_ ____@_ _#_ @____ __#_.,Fun Facts
Insects - 4,Dragonflies can fly backward and change direction almost instantly.,_____#_____ _@_ f_@ b_______ __@ _@_n__ __@_#____ ____#_ i__#__#_y.,Fun Facts
Insects - 5,Some ants farm fungi underground as their main source of food.,__@_ __@_ __#_ f__@_ _#____r__#_ @_ ___#_ m___ _o__#_ __ @___.,Fun Facts
Insects - 6,Fireflies produce light through a chemical reaction inside their bodies.,_@_____#_ ____#__ _@___ ____#__ _ c_______ r_#_@_@_ __@__e ___i_ _#____.,Fun Facts
Insects - 7,Houseflies taste food using sensors located on their feet.,__#____#__ _____ _@__ _#_@_ sen_#__ l__#___ o_ _h__@ @__@.,Fun Facts
Insects - 8,Beetles make up the largest group of insects known to science.,_#__@__ ____ __ t__ __@_#__ g__#_ o_ ___#__@ ___w_ @_ ___@_#_.,Fun Facts
Insects - 9,Grasshoppers can jump many times their body length in a single leap.,______@_@_@_ __@ _#__ _#__ ____@ _h___ __#_ ___#__ i_ a ____#_ l___.,Fun Facts
Insects - 10,Some insects can survive being frozen and later become active again.,____ _______ c__ su_#_@_ b____ ____@_ _#_ __@__ __@_#_ ___#__ @__#_.,Fun Facts
Insects - 11,Moths use the Moon and stars to help navigate during nighttime flights.,___#_ ___ ___ _#__ _@_ __#__ __ h___ @_@___#_ ___#__ ____@___@ _____t_.,Fun Facts
Insects - 12,Male mosquitoes usually eat nectar while females often drink blood.,__#_ __@_@_____ ___#___ e__ _#___@ w@__@ f______ ___#_ _#__k b____.,Fun Facts
Insects - 13,Termites build tall nests that can contain millions of individual insects.,___#____ _____ __@_ _@_t_ __#_ c__ ___#___ m____@__ _@ _#_____u__ _#____@.,Fun Facts
Insects - 14,Praying mantises can turn their heads much farther than humans can.,_#__#__ _@___#__ ___ __r_ _@___ _@___ _@_h _@___#_ _#__ ______ c__.,Fun Facts
Insects - 15,Ladybugs release a yellow liquid when they feel threatened by predators.,________ ___#___ _ _@__#_ ____i_ _@__ __@_ fe__ __r__@_#__ b_ _@__#__#_.,Fun Facts
Insects - 16,Some ants use their own bodies to form living bridges over gaps.,_#__ ____ u__ _@_@_ __n _@_@e_ t_ _#__ @_____ b_#__#_ ____ __#_.,Fun Facts
Insects - 17,Dragonflies have huge eyes that cover much of the surface of their heads.,_____#__#__ ____ __@_ _@__ __#_ _#_@_ ____ o_ t__ @______ __ _#__@ ____s.,Fun Facts
Insects - 18,Bees communicate food locations using movements known as the waggle dance.,__#_ _#____ic@__ @___ ____#____ __#_g __#_@____ @____ a_ _@_ ______ __n__.,Fun Facts
Insects - 19,Some beetles can lift objects many times heavier than their own bodies.,____ __#____ c__ ___@ ____#__ _a__ @__#_ _@__#__ __#_ _@___ __@ b_d___.,Fun Facts
Insects - 20,Walking sticks can look so much like branches that predators miss them.,_#_____ __#___ ___ ____ s_ ___@ __#_ _#___h__ ___@ _@___#__@ ___@ ___m.,Fun Facts
Insects - 21,Butterflies have tiny scales covering their wings that create their colors.,__#________ __#_ ____ _____s c@____#_ _@_@_ ___#_ t___ ______ _#___ @__@__.,Fun Facts
Insects - 22,Cockroaches can live for weeks without food under certain conditions.,__@______@_ ___ l___ _@_ w____ __#__@_ _o__ _#___ __#___n _#__#___@_.,Fun Facts
Insects - 23,Some insects breathe through tiny openings called spiracles along their bodies.,__@_ _#_____ _@_____ t_r____ ____ o_e__@__ ____#_ _#___#___ @____ _@___ __#___.,Fun Facts
Insects - 24,Ant colonies can have several queens depending on the species.,_#_ _#______ ___ h___ ___@_@_ q_#___ __#__@_ng @_ @__ ___#___.,Fun Facts
Insects - 25,"Bees have five eyes, including three tiny eyes on top of their heads.","__e_ __#_ __@_ __@_, __#__#___ __r__ _@_@ _#__ @_ t__ of ___i_ _#___.",Fun Facts
Insects - 26,Some caterpillars produce sounds to communicate with nearby individuals.,__@_ ______#___@_ @____c_ @__#__ t_ ___#_______ @___ n_____ __#__#__a__.,Fun Facts
Insects - 27,Scorpions are not insects because they have eight legs instead of six.,_#___@_@_ ___ __@ _______ __#___e __#_ @___ ___ht __#_ _____#_ o_ __@.,Fun Facts
Insects - 28,Mayflies spend most of their lives underwater before becoming adults.,__#___@_ __#__ ___@ __ __e__ __@_@ __#___#__r b_____ _____@__ __#_t_.,Fun Facts
Insects - 29,Some insects mimic ants to avoid predators that would normally attack them.,_#__ _______ ___@_ ____ __ __@_d @__#___@_ _@__ w____ __#___#_ __#___ __e_.,Fun Facts
Insects - 30,Bombardier beetles can spray a hot chemical mixture at attacking predators.,____#_@___ ___@__@ ___ _#___ _ ___ c_____@l m_#__r_ a_ ________@ __#___#__.,Fun Facts
Insects - 31,Some termites use vibration signals to warn their colony of danger.,_#__ __@_____ ___ ___@_____ __#__l_ t_ w_#_ __#_r __@_@_ o_ _#_@__.,Fun Facts
Insects - 32,Praying mantises use their powerful front legs to capture prey quickly.,__#__#_ ________ ___ __#__ __@e_#__ __@__ @___ t_ c__#___ p___ ___@_@_.,Fun Facts
Insects - 33,Dragonfly larvae live underwater and hunt small aquatic animals.,__#____#_ _____@ __v_ _#___#____ _#_ __nt s_@__ __@__@_ __@____.,Fun Facts
Insects - 34,Some butterflies migrate thousands of miles between seasonal habitats.,_#__ _@____f__@_ m______ @____@n_s __ ___#_ _#__#__ __a__#__ _______@.,Fun Facts
Insects - 35,Ants can use scent trails to guide other workers toward a food source.,____ @__ ___ __#__ ____l_ t_ @_@_e _#__@ __#___s _____@ a __#_ _#____.,Fun Facts
Insects - 36,Bees can flap their wings around two hundred times every second.,____ ___ ____ _#_@_ w____ _#__@_ ___ @__#_@_ t__#_ _v__@ se__#_.,Fun Facts
Insects - 37,Some insects have transparent wings that help them blend into their surroundings.,__#_ @__#___ __#_ ___________ _____ @___ h___ @___ _l_@_ _n_o t____ ___@_#__#___.,Fun Facts
Insects - 38,Stick insects can regrow lost legs while they are still immature.,_#___ _#_____ ___ @___@_ l___ _#__ _#_@_ __@_ a__ _t__@ ___#____.,Fun Facts
Insects - 39,Certain beetles can navigate using the Milky Way on clear nights.,_@_____ __@____ _#_ @_______ ___#_ t__ M_@_y _#_ _n _#_a_ @__#__.,Fun Facts
Insects - 40,Some insects use camouflage that makes them look like leaves or flowers.,_@__ ____#__ __@ _____#__#_ t___ _@___ __@_ _#__ __#_ _@a_e_ o_ _______.,Fun Facts
Insects - 41,Butterfly wings are covered with thousands of overlapping microscopic scales.,_@_#____@ _____ a__ ____#__ __#_ @__#___d_ o_ @________#_ _______@___ s_____.,Fun Facts
Insects - 42,Ants have no lungs and breathe through tiny openings in their bodies.,@___ ___@ __ _#___ ___ __@_t_e ___#__h @__y _#_@__#_ i_ _____ __#___.,Fun Facts
Insects - 43,Some wasps lay their eggs inside other insects for their larvae to eat.,____ ____s _@_ _he__ _#__ __@___ __#_r _@___#_ f__ @__#_ ___#__ _@ ___.,Fun Facts
Insects - 44,Fleas can jump over 100 times their own body length in one leap,_____ _#_ _@_@ @___ 100 __#__ ___@_ _#_ _o__ _#__@_ i_ ___ _#_p,Fun Facts
Insects - 45,"Many insects undergo metamorphosis, changing dramatically during development.","____ @__#___ __@____ _#_____@__#__, _____i__ _____#_c___@ d_____ ____#_p___@.",Fun Facts
Insects - 46,Some beetles communicate by tapping their heads against wooden surfaces.,___@ __#____ __#______#_ b_ ___#__@ t____ @____ a____s_ ___@__ @____#__.,Fun Facts
Insects - 47,Dragonflies have been flying around Earth for more than 300 million years.,__@_@______ __#_ ____ __#___ __@_@_ _#___ _#_ _o__ t___ 300 _____#_ _@a__.,Fun Facts
Insects - 48,Some ants protect aphids because they collect sweet honeydew from them.,__@_ ____ ____e__ _#__#_ __@_u__ t___ ____#__ ___#_ @_______ @_@_ __#_.,Fun Facts
Insects - 49,Male cicadas can produce extremely loud sounds to attract mates.,@__@ _#__#__ ___ p@_d@__ _____#___ _#__ ____#_ @_ ___r___ m____.,Fun Facts
Insects - 50,Some insects survive by pretending to be dead when predators approach.,____ _@__#__ ____#__ __ __e__@__#_ t_ __ @_a_ __#_ __@_____@ ___r__#_.,Fun Facts
Food - 1,Bananas are naturally radioactive because they contain potassium 40.,_#_@_a_ _r_ @_____l_y _____@_#_v_ _@___s_ _#__ _@____n _#__#___m 40.,Fun Facts
Food - 2,Honey can remain edible for thousands of years when sealed properly.,_#___ ___ _____@ __#_@_ _#_ ____@___@ o_ ___#_ w___ _e____ _#_@____.,Fun Facts
Food - 3,"Carrots were originally grown in purple, yellow, white, and red varieties.","__#____ ____ __i______@ _@__@ __ _#____, __#_@_, w___e, a__ _#_ __@__#___.",Fun Facts
Food - 4,Apples float in water because about a quarter of their volume is air.,_#__@_ @____ @_ _____ ____#__ a____ _ ___#_e_ _@ _#__r ____#_ i_ __@.,Fun Facts
Food - 5,"Peanuts are legumes, making them more closely related to beans than nuts.","_#__#__ __@ ___@___, _____@ __e_ @___ __#____ __#____ @_ _#___ th__ n___.",Fun Facts
Food - 6,"Avocados are technically fruits, and botanically they are single seeded berries.","_#______ ___ @____#____@ ____@_, a__ __t_#______ __#_ ___ _@____ _#___@ ____i__.",Fun Facts
Food - 7,Chocolate was once used as a form of currency by the ancient Aztecs.,_#_______ __s ___e @___ _@ a f___ o_ @_@___#_ @_ _#_ __#____ __#_c_.,Fun Facts
Food - 8,Potatoes were the first food planted and grown in space by astronauts.,__#_____ __@_ t__ _#_@_ _#__ ___#___ a__ _#___ _@ s____ b_ _@__@_____.,Fun Facts
Food - 9,Fresh cranberries can bounce because they contain small air pockets.,_@___ _@_#_______ _#_ ______ @__#__@ t___ __n____ _#__@ a__ __c_#__.,Fun Facts
Food - 10,Guavas contain more vitamin C than oranges and help support immunity,_#____ _____#_ ___@ ___#___ _ ____ @____@_ a__ __#_ @___@r_ __m_#_t_,Fun Facts
Food - 11,Popcorn kernels pop because water inside them turns into expanding steam.,_____@_ _____@_ ___ _#___#_ ____@ _#____ @___ _ur_@ i___ _____#___ ___#_.,Fun Facts
Food - 12,Unlike most vitamins fruits are not natural sources of vitamin D.,_@_#__ __@_ v_______ ____@_ @__ no_ __#_r__ _#__#__ _@ __#____ D.,Fun Facts
Food - 13,Vanilla comes from an orchid species that produces long green seed pods.,__#__#_ _#___ ____ _n @_____ __@_@__ t___ _r_#____ l___ __#__ ___@ _@__.,Fun Facts
Food - 14,Salt was once so valuable that Roman soldiers were sometimes paid with it.,____ _@_ _#__ __ ___#__l_ @_@_ ___#_ ___@i___ w___ _#__#____ p___ ___@ __.,Fun Facts
Food - 15,Broccoli and cauliflower are both cultivated varieties of the same plant species.,_#__#___ ___ __#_____#__ ___ ____ @__tiv____ ________@ o_ ___ s___ __@_@ ___@_#_.,Fun Facts
Food - 16,Coffee beans are actually seeds found inside the fruit of coffee plants.,____#_ _#___ @__ a_#__@__ _#___ _@___ __s_#_ t__ _r___ o_ __f_@_ _@_n__.,Fun Facts
Food - 17,"Cheese can be made from the milk of cows, goats, sheep, and buffalo.","__#_@_ ___ __ m___ __@_ __@ __#_ o_ _#__, _@___, s_#__, _#_ @____l_.",Fun Facts
Food - 18,Watermelons were grown in ancient Egypt thousands of years ago.,__#_____o_@ _#__ __#__ i_ __@_e_@ __#__ ___#__n_@ _f _@___ a__.,Fun Facts
Food - 19,"Almonds are seeds from a fruit, making them botanically related to peaches.","__#____ ___ _____ _@__ _ _#__t, _a__#_ __#_ _____@__@__ __@____ __ __@_#__.",Fun Facts
Food - 20,"Mustard seeds can be yellow, brown, or black depending on the plant variety.","____@__ __@__ ___ @_ __#___, __#__, __ b____ ____#__n_ o_ __@ __#__ _#__@__.",Fun Facts
Food - 21,Rice is a staple food for more than half of the worlds population.,@___ __ _ _#__#_ ___@ __r ___@ t___ _#__ @_ _#_ w_____ p___#____@.,Fun Facts
Food - 22,Egg yolks get their color from pigments found in the hens diet.,___ __#__ _#_ ___#_ __#__ _@__ __@___@s ___@_ i_ t__ _e@_ _#__.,Fun Facts
Food - 23,Maple syrup is made by boiling sap collected from certain maple trees.,_____ @____ i_ _#_e _@ _#__#__ _a_ _______@d __#_ __#___@ ____@ t___s.,Fun Facts
Food - 24,Yogurt is created when beneficial bacteria ferment sugars in milk.,_#__@_ __ ______@ _#__ ___#_i____ ____#_@_ ___#___ s_@_r_ __ @___.,Fun Facts
Food - 25,Garlic contains sulfur compounds that create its strong smell and flavor.,_@_@_c ____#___ __@_#_ _______@_ _@__ __#_t_ ___ ___o__ ___#_ _n_ __#__r.,Fun Facts
Food - 26,Chili peppers feel hot because capsaicin activates heat sensing receptors.,_____ @______ f___ __t ___@___ c_#___#__ @______#_ _#__ __@___g @____#___.,Fun Facts
Food - 27,Cashews grow attached to the bottom of a fleshy fruit called a cashew apple.,___#___ __#_ _@____#_ __ ___ __#___ __ _ _____y _@_@_ _#__@_ a __s_e_ __@__.,Fun Facts
Food - 28,Figs contain tiny flowers that bloom inside the fruit rather than outside.,F___ ___#___ __#_ __@____ ___t _@_o_ __@___ _#_ ____@ __#___ ___@ __#____.,Fun Facts
Food - 29,Traditional balsamic vinegar can take many years to become fully aged.,__#__@_____ _#__#__@ _____@_ ___ _@__ __@_ _____ t_ ____#_ f__#_ a___.,Fun Facts
Food - 30,"Peaches, plums, cherries, and apricots all belong to the same fruit family.","@____@_, ___#_, _@______, ___ a_____#_ ___ __#___ t_ _#_ s___ @___@ f___#_.",Fun Facts
Food - 31,Blue cheese gets its blue veins from specially selected species of mold.,____ ____#_ @___ i__ ___@ _#___ __o_ __#___l__ _#______ @__#_@_ __ m_@_.,Fun Facts
Food - 32,Olive oil can vary in flavor depending on the olive variety and harvest time.,_____ ___ _#_ @___ __ _____@ _@___#_n_ o_ _#_ _l___ __#___@ _#_ @______ t___.,Fun Facts
Food - 33,Black pepper comes from dried berries that grow on a climbing tropical vine.,_@___ ______ ___#_ _#__ __@__ __#____ __@_ ___@ o_ a ___@__#_ t_______ _#_e.,Fun Facts
Food - 34,"Coconuts are technically fruits called drupes, not true nuts.","___#__@_ _@_ _______a@__ _@_#__ c___#_ d__#__, _@_ tru_ _#_s.",Fun Facts
Food - 35,Tomatoes were once grown as ornamental plants in parts of Europe.,__#__@__ _#__ __#_ _____ _@ ___am____l _#_@__ _@ _@_#_ o_ __r___.,Fun Facts
Food - 36,Tofu is made by curdling soy milk and pressing the resulting bean curds.,__#_ __ ____ __ _#_d_#__ @__ _#__ a__ ___s___@ t__ _@__@__#_ __@_ c____.,Fun Facts
Food - 37,"French fries are not originally from France, despite their famous name.","___#__ ___#_ a__ n__ __@__#____ f___ _r____, _#__@__ __#__ __@__s _@_@.",Fun Facts
Food - 38,Yeast makes bread rise by producing carbon dioxide during fermentation.,_#___ _____ _____ _@__ _@ __#_u____ ___#_n _#_@__@ d_____ _#______@___.,Fun Facts
Food - 39,Peas are seeds that develop inside pods and belong to the legume family.,___@ ___ __@__ _#_t _@_____ __@_#_ __d_ a__ _e__#_ _o __@ __#___ __#___.,Fun Facts
Food - 40,"Some mushrooms can glow in the dark, just like some jellyfish.","__@_ @___#_@__ ___ _#__ i_ t__ @__k, __@_ _#__ s___ _#__#____.",Fun Facts
Food - 41,Pumpkins are fruits because they develop from the flowering part of a plant.,_____#__ @__ ____#_ @___@__ ____ ____#__ ___@ t__ _@____#__ __#_ o_ a p____.,Fun Facts
Food - 42,Turmeric gives many curries their bright yellow color and earthy flavor.,_u@___#_ _#_@_ m_#_ ___@___ _@e__ b_____ ____o_ ___#_ _@_ _#____ __a___.,Fun Facts
Food - 43,Wasabi served outside Japan is often made mainly from horseradish instead.,_@____ _#____ _@_@___ _#___ i_ __#__ _a__ __@nl_ _#__ _#__e_____h ___@___.,Fun Facts
Food - 44,Butter is made by churning cream until its fat separates from the liquid.,____#_ _@ __#_ _@ __@_____ __#__ @____ ___ f__ s__#___#_ ____ __@ __q___.,Fun Facts
Food - 45,Durian is famous for its strong smell and is restricted in some public places.,_@___@ __ @____@ ___ __@ ______ _#___ ___ _s _#_____#__ i_ ___e _#____ _l_#__.,Fun Facts
Food - 46,"Quinoa is a seed, even though it is commonly prepared and eaten like a grain.","___#__ __ _ ____, ____ @_____ _t i_ _@_#__#_ __@_#___ _@_ e____ _#__ a ___@_.",Fun Facts
Food - 47,Molasses is a thick syrup produced during the process of making sugar.,__@_____ @_ _ t____ _#___ p_______ _#___@ _#_ @____@_ _f _#____ _#___.,Fun Facts
Food - 48,Ripe pineapples do not continue to become sweeter after being harvested.,__#_ _@_#___#__ __ ___ _#__#___ _o b_____ s______ ____@ _____ _@_@_@___.,Fun Facts
Food - 49,"Nutmeg is a seed, while mace comes from the colorful covering around it.","____#_ __ _ ____, @__@_ __#_ _____ __@m t__ _#___#_l ___@_@__ _#____ i_.",Fun Facts
Food - 50,Caramel forms when sugar molecules break down and brown under high heat.,__@___@ @__#_ ___@ _#___ ____#____ _r___ ___n a__ __#__ @__e_ h___ _#__.,Fun Facts
Ancient History - 1,The Sumerians developed some of the earliest known cities in human history.,T__ ____r@__@ __ve_____ _#__ _@ _h_ __#___#_ _n_@_ ___i__ _@ __#__ __#____.,Fun Facts
Ancient History - 2,The ancient Romans built roads that connected cities across their vast empire.,___ ______@ _#__#_ _____ __#__ __@_ _#_______ __#__@ __@o__ t____ _@__ e_____.,Fun Facts
Ancient History - 3,The ancient Maya developed complex calendars based on careful observations.,___ ___@___ ____ _#____p__ @___#__ _____#___ _as__ o_ _#__#__ @____v@____@.,Fun Facts
Ancient History - 4,Ancient Greek theaters were designed so audiences could hear distant voices.,_@_#___ __@__ ______@_ ____ ___#__#_ __ @___#__e_ c____ __@_ _is_#__ ______.,Fun Facts
Ancient History - 5,"Japan's samurai followed a strict code called Bushido, meaning way of the warrior.","_____'_ ___#___ ___#____ a __@_c_ __@_ ______ B____#_, _____#_ __y @_ @__ _@__#__.",Fun Facts
Ancient History - 6,Ancient Romans sometimes used heated floors to warm wealthy homes.,______@ ____#_ s___t_#__ _@__ _____@ __@___ __ __#_ _#__@__ __#__.,Fun Facts
Ancient History - 7,"The Liberty Bell cracked while ringing, but the exact cause remains unknown.","__@ _______ B_#_ _@____d _h___ __#_i__, _#_ t__ ___c_ @_u__ _#__#__ _@__@__.",Fun Facts
Ancient History - 8,Cuneiform writing was pressed into wet clay using a wedge shaped tool.,______#__ _______ ___ _r____@ _#__ _#_ _@_@ __#__ a w____ s__#__ @__@.,Fun Facts
Ancient History - 9,The Indus Valley civilization had cities with planned streets and drainage systems.,___ _@___ _@___y ___#________ h__ _@____ ___@ ____#__ __@_#__ _#_ ___#____ s______.,Fun Facts
Ancient History - 10,Ancient Egyptians developed a writing system using hundreds of symbols.,_______ _____@___ _#_____#_ a @______ _#_@__ _@i@_ ___d____ o_ __#__#_.,Fun Facts
Ancient History - 11,Ancient Egyptians used a 365 day calendar based on the solar year.,___#___ _____#__@ _#__ _ 365 d__ ___@__@_ __#__ _@ t__ s_@__ __#_.,Fun Facts
Ancient History - 12,The Roman Empire once stretched across parts of Europe Africa and Asia.,__@ _#___ ___i__ @___ __r__@_#_ ___#__ _a__s _@ ___#__ ______ _#_ ___@.,Fun Facts
Ancient History - 13,Ancient Greeks studied geometry long before modern mathematics.,__@__#_ G_____ ____@_d _@_#__#_ l___ _____@ ___#__ __t___@__#_.,Fun Facts
Ancient History - 14,The ancient Greeks held the first Olympic Games in Olympia around 776 BCE.,___ _#__@__ @__#__ ____ t__ _#_s_ ______c _#_@_ i_ __@____ _@_#__ 776 B__.,Fun Facts
Ancient History - 15,Ancient people used sundials to estimate the time based on shadows.,______@ ___#__ u___ _#_@___@ t_ __#_____ __@ ____ ba___ _@ _#_d_#_.,Fun Facts
Ancient History - 16,Ancient Egyptians believed cats were sacred and associated them with gods.,_______ _#__@____ ____@_#_ _#__ @___ _#____ @_d ___#_i_@__ __e_ w___ g__s.,Fun Facts
Ancient History - 17,The Rosetta Stone helped scholars decipher Egyptian hieroglyphs.,__@ _____#_ _t__@ _#_p@_ _____#__ @_______ _#___#_n @__________.,Fun Facts
Ancient History - 18,Ancient Mesopotamians developed one of the earliest known writing systems.,___#___ @__@____#____ _@_____@_ ___ _f __@ _#____#_ _n_w_ __i__#_ s______.,Fun Facts
Ancient History - 19,The ancient Egyptians practiced dentistry and treated painful tooth problems.,___ __#_@__ _________ __a____#_ _@___@_@_ ___ t__#___ ___#___ _#__@ p_______.,Fun Facts
Ancient History - 20,Babylon was one of the largest and most influential cities of ancient Mesopotamia.,____#__ ___ _#_ @_ ___ __#____ _#_ _@__ ____@__@___ ______ o_ @____#_ M_s________.,Fun Facts
Ancient History - 21,Ancient Egyptians built boats from bundles of papyrus reeds.,_#____@ _#_____n_ _#__t __#__ ___@ _@_#_@_ o_ __@____ _e___.,Fun Facts
Ancient History - 22,The Code of Hammurabi is one of the oldest surviving written law codes.,_#_ ____ __ ____@____ __ _#_ __ t__ __#_@_ @__@__i__ __#__@n _#_ c____.,Fun Facts
Ancient History - 23,Spartans trained boys for warfare from a young age under strict rules.,_______@ __@___@ __@_ f__ ____a__ _@__ _ _#_n_ _#_ _#___ ____#_ __#_s.,Fun Facts
Ancient History - 24,Ancient Athens developed an early form of democracy for male citizens.,____#__ ___#__ @________ a_ __@_@ ___@ o_ _#__c____ _#_ __@e ____#___.,Fun Facts
Ancient History - 25,Ancient Egyptians often shaved their heads and wore wigs for practical reasons.,__@____ _____@___ __#__ ____e_ t____ __#__ a__ _o_@ wi__ f__ __#____#_ @__#__@.,Fun Facts
Ancient History - 26,Ancient Chinese bronze casting produced remarkably detailed weapons and vessels.,_______ ___#__@ _____@ c______ p_____#_ ______#___ @___@_#_ w____#_ __@ v______.,Fun Facts
Ancient History - 27,Archimedes developed machines and mathematical ideas that remain famous today.,_______d__ _________ __#_____ _#_ ___#____@___ __#__ _@_t _@m__@ _____@ _#___.,Fun Facts
Ancient History - 28,The Library of Alexandria became one of the ancient worlds great centers of learning.,___ ___#___ __ __@____#__ _#____ @__ __ t__ @____@_ _#____ g____ _@_____ o_ _e___#__.,Fun Facts
Ancient History - 29,The Great Pyramid of Giza was the tallest human made structure for centuries.,__@ _#___ _______ __ ____ w__ t__ _#__#__ _u_#_ ___@ _#__@____ _@_ @________.,Fun Facts
Ancient History - 30,Mongol warriors used horses so skilled riders could shoot arrows while riding.,____#_ _a______ __#_ _#____ s_ __@_#__ ____@_ _@___ __#__ @_____ __@l_ _i____.,Fun Facts
Ancient History - 31,Ancient Persian kings built an enormous road network across their empire.,_#_____ _@_____ __@__ _u___ a_ e_#__#__ __#_ ___#_@_ ______ _@__r _@____.,Fun Facts
Ancient History - 32,Ancient Sumerians used clay tablets to record trade and other transactions.,_#___@_ @_____@__ ____ __#_ _______ __ __c___ _#___ a__ o@___ @__n_#____#_.,Fun Facts
Ancient History - 33,The Terracotta Army was created to guard the tomb of China's first emperor.,_#_ _#________ ____ _@_ ___@___ @_ g____ _@_ ___@ o_ C_#__'s _#___ _#_____.,Fun Facts
Ancient History - 34,Alexander the Great created a huge empire before dying at only 32 years old.,_________ _@_ _#___ __#__#_ _ _uge ____#_ _@_o@_ ___@_ a_ _#__ 32 ___@_ ___.,Fun Facts
Ancient History - 35,Ancient Romans wrote messages on wax tablets that could be erased and reused.,___#___ ______ _____ ____#___ _@ _a_ @____t_ __@_ c__#_ b_ _#___@ @__ __#__d.,Fun Facts
Ancient History - 36,Ancient Romans used urine to help clean and whiten their clothes.,____e@_ __#__@ u__d __#__ t_ __#_ @__#_ _n_ __@___ ___@r ____#__.,Fun Facts
Ancient History - 37,Roman concrete could become stronger when exposed to seawater over time.,___@_ ___#____ __@__ b_@_#_ s_r_@___ __#_ ______@ t_ _____#__ _#__ _i__.,Fun Facts
Ancient History - 38,The Persian Royal Road allowed messages to travel quickly across the empire.,_#_ _____@_ _____ R___ _____#_ ___@____ @_ _#____ ___#_@_ _c_#__ @__ _____e.,Fun Facts
Ancient History - 39,Chess evolved from an ancient Indian military strategy board game called Chaturanga.,___@_ __@__#_ ____ a_ @______ ___#__ __#___@_ s_______ ____d g___ ___#__ ___#____@_.,Fun Facts
Ancient History - 40,Ancient Rome had a massive stadium called the Colosseum for public events.,__#____ ____ @__ _ ____@_e _#___#_ ___l__ @__ _#_@_@___ f__ p_____ ____#_.,Fun Facts
Ancient History - 41,Vikings used crystal stones to help navigate on cloudy days.,_#___#_ u___ ______@ _@o___ __ _#__ _____#__ _@ _#_@_y __@_.,Fun Facts
Ancient History - 42,Some ancient Egyptian mummies were preserved for thousands of years.,____ _@_@___ _____#__ __#_i_@ w___ ______v__ f__ _@_#_a_#_ _@ _#__s.,Fun Facts
Ancient History - 43,The ancient Maya used cacao beans as currency in some regions.,_h_ _#__@__ _a__ ___@ _@__@ _@_n_ __ _#__#___ i_ __#_ r_#___s.,Fun Facts
Ancient History - 44,The ancient city of Pompeii was buried by Mount Vesuvius in 79 CE.,_@_ _#__@__ _#__ __ __#__#_ w__ __#___ @_ ___n_ _____i@_ _@ 79 C_.,Fun Facts
Ancient History - 45,The ancient Egyptians used honey as a sweetener and sometimes as medicine.,@__ _______ __@____#_ _@__ _____ a_ _ _#__#__#_ __@ ____t____ __ @_____#_.,Fun Facts
Ancient History - 46,The ancient Iron Pillar of Delhi has resisted rusting for over one thousand six hundred years.,___ _______ __#_ ______ @_ ____@ __@ @_______ _#__i__ f__ ___r o__ ___#____ _#_ ____@__ _#___.,Fun Facts
Ancient History - 47,The ancient Romans created aqueducts to carry fresh water into their cities.,___ ____#__ ______ ______@ a__@___#_ t_ _@_@_ ___#_ __@__ i___ _#___ __#___.,Fun Facts
Ancient History - 48,Ancient Egyptians used a form of toothpaste made from several powdered ingredients.,_______ ___#___#_ _@__ _ @__@ __ _#______t_ ___e f___ ___@__l _____@__ __#_____#__.,Fun Facts
Ancient History - 49,Papermaking was invented in ancient China long before it reached Europe.,_____#__#__ ___ ___@_@__ __ __@____ C_#__ l___ ___#__ i_ @__#___ __r_@_.,Fun Facts
Ancient History - 50,The ancient Romans used public toilets connected to underground drainage systems.,_#_ ___#_@_ _o_@__ u___ p_____ __#____ _____#___ __ ____@__#___ __@____@ __s____.,Fun Facts
Science - 1,"Water expands when it freezes, which is why ice floats on liquid water.","__#__ _______ ____ i_ _@e_#__, _h_@_ @_ w__ _#_ f@_at_ o_ _#____ @__#_.",Fun Facts
Science - 2,The DNA inside one human cell stretches to nearly two meters when uncoiled.,___ _#_ __#___ ___ __#__ @__@ _#_@_____ @_ ______ ___ __t___ w___ u_@__#__.,Fun Facts
Science - 3,Sound travels faster through water than it does through air.,_@___ _#___@_ f_____ th__#__ __@_r ___@ _@ _#__ __#____ _#_.,Fun Facts
Science - 4,The human brain uses roughly as much power as a small light bulb.,_@_ _____ ___i_ @___ __#__#_ _s @___ _@_#_ __ a _#__@ _____ _#__.,Fun Facts
Science - 5,A bolt of lightning can heat the surrounding air to extreme temperatures.,_ __@_ __ _#_______ ___ ____ __e @__#_____n_ _@_ t_ ___r_#_ _#__#_@___@_.,Fun Facts
Science - 6,"Earth's atmosphere is mostly nitrogen, with oxygen making up much of the rest.","____@'_ __#__@_#__ __ ______ _#_____@, ____ o___#_ m_____ u_ __c_ @_ _#_ __@_.",Fun Facts
